Repository	Lock-Commit	Lock-Period	Lock-Time	First-Commit-Time	Lock-Committed-After
stylus	3d04ba6b8f9c0f795011e0e292d7d72942cb535a	Feb||2018	2018-02-24 08:33:16	2010-12-09 14:05:30	True
redux	bfea3cb5679b84e089049879167e71c75b5501c5	Jul||2017	2017-07-12 20:36:16	2015-05-30 02:56:23	True
typescript	5bcb353e18aeefcddbc9eadb8bdbae8c11c59d10	Aug||2020	2020-08-19 16:50:23	2014-07-07 17:08:16	True
nodemon	2af639102dc1a9d225073ead887e031313d09fc0	Sep||2017	2017-09-04 20:04:30	2010-10-03 14:34:34	True
marked	2a920832e9f8e747399f89d0d7531680a5beba45	Dec||2017	2017-12-01 12:58:35	2011-07-24 08:15:35	True
htmlminifier	5342a065df366c7aeb31822ad53cd5aa427d41ea	Mar||2019	2019-03-23 01:56:43	2010-02-05 15:49:43	True
immutable	751082fd0d392f14f7fa567d5fad6edd8f94bd79	Feb||2019	2019-02-15 00:15:09	2014-05-28 19:33:53	True
polymerpolymer	c90eeb67ec60c01015aaced29aaa0db7dd698ac0	Jan||2018	2018-01-29 18:06:36	2012-10-10 10:32:53	True
three	2ca5f65662a1ecfa6ce01598a7578baff078f217	May||2018	2018-05-30 16:16:07	2010-03-23 19:03:00	True
less	e0f5c1a1562eae69799e3f1db55462469bdb3a81	Jul||2020	2020-07-06 19:04:38	2010-02-23 13:39:05	True
tsnode	7164ab734c73167dce9adc2538e98d3d9999f7f6	Feb||2018	2018-02-19 14:09:36	2015-07-15 12:11:17	True
log4js	c1f1cea5a53c936c14660433c014375746260e31	Jul||2017	2017-07-02 23:53:25	2010-01-17 12:08:28	True
yeomanenvironment	aca8527c66c835c647d92d1194355dae93c352bf	Sep||2017	2017-09-30 22:26:58	2012-07-23 06:07:32	True
ioredis	f4f8cba90fd3f34adaecf0ea6ada8a1f5a2bc620	Jul||2017	2017-07-26 09:42:43	2015-04-02 14:41:39	True
