Repository	Package-Lock	Npm-ShrinkWrap	Yarn	All-Fixed	No-Dependency
urlparse	0	0	0	0	0
draftjs	0	0	0	0	0
debug	0	0	0	0	0
bcrypt	1	0	0	0	0
rollupplugincommonjs	1	0	0	0	0
jqueryui	0	0	0	0	0
swig	0	0	0	0	0
localforage	0	0	0	0	0
gulpwatch	1	0	0	0	0
cosmiconfig	0	0	0	0	0
babelpluginlodash	1	0	0	0	0
consolidate	0	0	0	0	0
jsonwebtoken	0	0	0	0	0
nodenotifier	1	0	0	0	0
leaflet	0	0	0	0	0
xml2js	1	0	0	0	0
eslintpluginnode	0	0	0	0	0
csv	0	0	0	0	0
yargsparser	0	0	0	0	0
commontags	1	0	0	0	0
imagemin	0	0	0	0	0
semver	1	0	0	0	0
forktscheckerwebpackplugin	0	0	0	0	0
yaml	1	0	0	0	0
rx	0	0	0	0	0
phantomjsprebuilt	0	0	0	0	0
phantomjs	0	0	0	0	0
needle	1	0	0	0	0
ethereumjstx	0	0	0	0	0
accepts	0	0	0	0	0
reactmarkdown	0	0	0	0	0
es6promise	0	0	0	0	0
eventstream	1	0	0	0	0
bnjs	0	0	0	0	0
micromatch	0	0	0	0	0
errorhandler	0	0	0	0	0
eslintpluginflowtype	0	0	0	0	0
nedb	0	0	0	0	0
jsyaml	0	0	0	0	0
eventemitter3	0	0	0	0	0
elliptic	1	0	0	0	0
copywebpackplugin	1	0	0	0	0
escodegen	0	0	0	0	0
svgo	1	0	0	0	0
vinylfs	0	0	0	0	0
commander	1	0	0	0	0
popperjs	0	0	0	0	0
cuid	1	0	0	0	0
secp256k1	0	0	0	0	0
vuex	0	0	0	0	0
postcssimport	0	0	0	0	0
polished	0	0	0	0	0
htmlparser2	1	0	0	0	0
webpackbundleanalyzer	1	0	0	0	0
npmrunall	0	0	0	0	0
fusejs	0	0	0	0	0
nodefetch	0	0	0	0	0
eslintconfigstandard	0	0	0	0	0
rcutil	0	0	0	0	0
postcssloader	1	0	0	0	0
lowdb	1	0	0	0	0
jshint	0	0	0	0	0
eslintpluginjest	0	0	0	0	0
resolve	0	0	0	0	0
highlightjs	1	0	0	0	0
qs	0	0	0	0	0
koarouter	0	0	0	0	0
finalhandler	0	0	0	0	0
readablestream	0	0	0	0	0
