Repository	Tag	No. Of. Duplicates
raf	v3.2.0	15
raf	v3.1.0	15
filesaver	2.0.4	0
filesaver	v2.0.4	0
filesaver	v2.0.2	0
filesaver	2.0.0	37
filesaver	1.3.8	37
flat	1.6.2	0
flat	2.0.2	0
flat	3.0.1	0
flat	4.1.1	4
flat	5.0.2	4
passportoauth	v1.0.0	0
passportoauth	v0.1.15	0
passportoauth	v0.1.14	0
passportoauth	v0.1.13	0
passportoauth	v0.1.12	0
webpacknodeexternals	v3.0.0	52
webpacknodeexternals	v2.5.2	52
webpacknodeexternals	v2.5.1	52
webpacknodeexternals	v2.5.0	52
webpacknodeexternals	v2.4.0	52
eslintpluginbabel	v5.3.1	1
eslintpluginbabel	v5.3.0	1
eslintpluginbabel	v5.2.1	1
eslintpluginbabel	v5.2.0	1
eslintpluginbabel	v5.1.0	1
nodeemoji	v1.10.0	0
nodeemoji	v1.9.0	0
nodeemoji	v1.8.1	0
nodeemoji	v1.8.0	0
nodeemoji	v1.7.0	0
syncrequest	6.1.0	82
syncrequest	6.0.0	82
syncrequest	5.0.0	82
syncrequest	4.1.0	82
syncrequest	4.0.3	82
isomorphicfetch	v3.0.0	8
isomorphicfetch	v2.2.1	0
isomorphicfetch	v2.2.0	0
isomorphicfetch	v2.1.3	0
isomorphicfetch	v2.1.2	0
temp	v0.9.4	6
temp	v0.9.2	6
temp	v0.9.1	6
temp	v0.9.0	6
temp	v0.8.3	6
sourcemaploader	v3.0.0	380
sourcemaploader	v2.0.2	380
sourcemaploader	v2.0.1	380
sourcemaploader	v2.0.0	380
sourcemaploader	v1.1.3	380
mz	2.7.0	0
mz	2.6.0	0
mz	2.5.0	0
mz	2.4.0	0
mz	2.3.1	0
deepextend	v0.6.0	0
deepextend	v0.5.1	0
deepextend	v0.5.0	0
deepextend	v0.4.2	0
deepextend	v0.4.1	0
objectpath	v0.11.0	5
objectpath	v0.10.0	5
objectpath	v0.9.3	5
objectpath	v0.9.2	5
objectpath	v0.9.1	5
nodeuuid	v3.0.0	0
nodeuuid	v1.4.7	0
nodeuuid	v1.4.6	0
nodeuuid	v1.4.5	0
nodeuuid	v1.4.4	0
reduxthunk	v2.3.0	32
reduxthunk	v2.2.0	32
reduxthunk	v2.1.2	32
reduxthunk	v2.1.1	32
reduxthunk	v2.1.0	32
bcryptjs	2.4.3	0
bcryptjs	2.4.2	0
bcryptjs	2.4.0	0
bcryptjs	2.3.0	0
bcryptjs	2.2.2	0
koacompose	v4.2.0	116
koacompose	4.1.0	116
koacompose	4.0.0	116
koacompose	3.2.1	116
koacompose	2.5.1	116
deasync	v0.1.21	0
deasync	v0.1.20	0
deasync	v0.1.19	0
deasync	v0.1.18	0
deasync	v0.1.17	0
sanitizefilename	v1.6.3	119
sanitizefilename	v1.6.2	119
sanitizefilename	v1.6.1	119
sanitizefilename	v1.6.0	119
sanitizefilename	v1.5.3	119
mockjs	1.0.1-beta3	122
mockjs	1.0.1-beta2	122
mockjs	1.0.1-beta1	122
mockjs	1.0.0	122
mockjs	1.0.0-beta2	122
jestwatchtypeahead	v0.6.4	226
jestwatchtypeahead	v0.6.3	226
jestwatchtypeahead	v0.6.2	226
jestwatchtypeahead	v0.6.1	226
jestwatchtypeahead	v0.6.0	226
proptypes	v15.7.2	29
proptypes	v15.7.1	29
proptypes	v15.7.0	29
proptypes	v15.6.2	29
proptypes	v15.6.1	29
nopt	v5.0.0	58
nopt	v4.0.3	58
nopt	v4.0.2	58
nopt	v4.0.1	58
nopt	v4.0.0	58
resizeobserverpolyfill	1.5.1	85
resizeobserverpolyfill	1.5.0	85
resizeobserverpolyfill	1.4.2	85
resizeobserverpolyfill	1.4.1	85
resizeobserverpolyfill	1.4.0	85
inflection	v1.13.1	8
inflection	v1.13.0	8
inflection	v1.12.0	8
inflection	v1.11.0	8
inflection	v1.10.0	8
es6promisify	v7.0.0	87
es6promisify	v7.0.0-beta.2	87
es6promisify	v7.0.0-beta.1	87
es6promisify	v7.0.0-beta.0	87
es6promisify	v6.1.1	87
deepdiff	v1.0.2	65
deepdiff	v1.0.1	65
deepdiff	v1.0.0	65
deepdiff	v0.3.8	65
deepdiff	v0.3.7	65
gruntcontribconcat	v1.0.1	30
gruntcontribconcat	v1.0.0	33
gruntcontribconcat	v0.5.1	36
gruntcontribconcat	v0.5.0	37
gruntcontribconcat	v0.4.0	37
mkdirp	v0.5.5	97
mkdirp	v1.0.4	97
mkdirp	v0.5.4	97
mkdirp	v0.5.3	97
mkdirp	v0.5.2	97
gruntcontribclean	v2.0.0	137
gruntcontribclean	v1.1.0	137
gruntcontribclean	v1.0.0	137
gruntcontribclean	v0.7.0	137
gruntcontribclean	v0.6.0	137
hexletpairs	v1.1.1	263
hexletpairs	v1.1.0	263
hexletpairs	v1.0.15	263
hexletpairs	v1.0.14	263
hexletpairs	v1.0.13	263
global	v4.4.0	0
global	v4.3.2	0
global	v4.3.1	0
global	v4.3.0	0
global	v4.2.1	0
bs58	v4.0.1	6
bs58	v4.0.0	513
bs58	v3.2.0	52
bs58	v3.1.0	52
bs58	3.0.0	52
bytes	3.1.0	31
bytes	3.0.0	3
bytes	2.5.0	2
bytes	2.4.0	0
bytes	2.3.0	0
immutabilityhelper	v3.1.1	34
immutabilityhelper	v3.0.2	34
immutabilityhelper	v3.0.1	34
immutabilityhelper	v3.0.0	34
immutabilityhelper	v2.9.1	34
columnify	1.5.4	52
columnify	1.5.3	52
columnify	1.5.2	53
columnify	1.5.1	53
columnify	1.5.0	2
busboy	v0.3.1	0
busboy	v0.3.0	0
busboy	v0.2.14	0
busboy	v0.2.13	0
busboy	v0.2.12	0
long	4.0.0	48
long	3.2.0	48
long	3.1.0	48
long	3.0.3	48
long	3.0.1	48
crc	v3.8.0	0
crc	v3.7.0	0
crc	v3.6.0	0
crc	v3.5.0	60
crc	v3.4.4	60
hiredis	v0.5.0	0
hiredis	v0.4.1	0
hiredis	v0.4.0	0
hiredis	v0.3.0	0
hiredis	v0.2.0	0
gruntcli	v1.4.3	45
gruntcli	v1.4.2	44
gruntcli	v1.4.1	44
gruntcli	v1.4.0	45
gruntcli	v1.3.2	46
split2	v3.2.2	42
split2	v3.2.0	42
split2	v3.1.1	67
split2	v3.1.0	67
split2	v3.0.0	44
colors	v1.4.0	0
colors	v1.3.3	0
colors	v1.3.2	0
colors	v1.3.1	0
colors	v1.3.0	0
eslintpluginstandard	v5.0.0	41
eslintpluginstandard	v4.1.0	41
eslintpluginstandard	v4.0.2	41
eslintpluginstandard	v4.0.1	41
eslintpluginstandard	v4.0.0	41
unzip	v0.1.11	0
unzip	v0.1.10	0
unzip	v0.1.8	0
